"Date" "Location...Operator" "Aircraft.Type...Registration" "Fatalities" "year" "date" "casualties_onboard" "souls_onboard" "casualities_ground"
"93" "14 Sep 1923" "Near Ivinghoe, Buckinghamshire, EnglandDaimler Airways" "de Havilland DH-34G-EBBS" "5/5(0)" 1923 1923-09-14 5 5 0
"103" "18 Nov 1923" "RussiaCCCP" "Junkers F-13D-257" "3/5(0)" 1923 1923-11-18 3 5 0
"115" "06 Dec 1923" "Castalia, OhioUS Aerial Mail Service" "De Havilland DH-4318" "1/1(0)" 1923 1923-12-06 1 1 0
"123" "23 Dec 1923" "Over the Mediterranean SeaMilitary - French Navy" "Zeppelin Dixmunde (airship)L-72" "52/52(0)" 1923 1923-12-23 52 52 0
"132" "24 Dec 1923" "Egbert, WYUS Aerial Mail Service" "De Havilland DH-4315" "1/1(0)" 1923 1923-12-24 1 1 0
"116" "07 Mar 1924" "Grampian, PennsylvaniaUS Aerial Mail Service" "De Havilland DH-4327" "1/1(0)" 1924 1924-03-07 1 1 0
"213" "24 Apr 1924" "Over the English ChannelKLM Royal Dutch Airlines" "Fokker F.IIIH-NABS" "3/3(0)" 1924 1924-04-24 3 3 0
"313" "08 Jun 1924" "Barranquilla, ColombiaSCADTA" "Junkers F-13A16" "5/5(0)" 1924 1924-06-08 5 5 0
"413" "01 Aug 1924" "United StatesUS Aerial Mail Service" "De Havilland DH-4297" "1/1(0)" 1924 1924-08-01 1 1 0
"55" "06 Nov 1924" "Cabrerolles, FranceGrands Express Aeriens" "Breguet 14F-AFBD" "1/1(0)" 1924 1924-11-06 1 1 0
"64" "21 Dec 1924" "Goshen, IndianaUS Aerial Mail Service" "De Havilland DH-4311" "1/1(0)" 1924 1924-12-21 1 1 0
"74" "24 Dec 1924" "Purley, EnglandImperial Airways" "de Havilland DH-34BG-EBBX" "8/8(0)" 1924 1924-12-24 8 8 0
"117" "22 Mar 1925" "Near Tiflis, Georgia, USSRZakavia" "Junkers F-13R-RECA" "5/5(0)" 1925 1925-03-22 5 5 0
"214" "25 Apr 1925" "Alicante, SpainGrands Express Aeriens" "Breguet 14F-AFBB" "3/3(0)" 1925 1925-04-25 3 3 0
"314" "25 Jun 1925" "Landrécies, FranceKLM Royal Dutch Airlines" "Fokker (KLM)  F.IIIH-NABM" "4/4(0)" 1925 1925-06-25 4 4 0
"414" "26 Jun 1925" "Alicante, SpainGrands Express Aeriens" "Lioré-et-Olivier LeO H-13F-FREM" "2/2(0)" 1925 1925-06-26 2 2 0
"56" "20 Jul 1925" "Rosas, SpainLignes Aeriennes Latecoere" "Breguet 14F-AFBI" "1/1(0)" 1925 1925-07-20 1 1 0
"65" "24 Jul 1925" "Budapest, HungaryCIDNA" "Potez IX?" "1/1(0)" 1925 1925-07-24 1 1 0
"75" "03 Sep 1925" "Caldwell, OhioMilitary - U.S. Navy" "Dirigible ZR-1 Shenandoah (airship)ZR-1" "14/43(0)" 1925 1925-09-03 14 43 0
"84" "07 Sep 1925" "Toul, FranceCIDNA" "Spad 33?" "?/?(?)" 1925 1925-09-07 NA NA NA
"94" "01 Oct 1925" "Mt. Nittany, OhioUS Aerial Mail Service" "De Havilland DH-4385" "1/1(0)" 1925 1925-10-01 1 1 0
"104" "14 Nov 1925" "Nouadhibou, MauritaniaLignes Aeriennes Latecoere" "Breguet 14F-AEGZ" "1/1(0)" 1925 1925-11-14 1 1 0
"118" "14 Nov 1925" "Off Boulogne-sur-Mer, FranceAir Union" "Farman F-60 GoliathF-FHMY" "2/2(0)" 1925 1925-11-14 2 2 0
"119" "12 Feb 1926" "Montpelier, OhioUS Aerial Mail Service" "Curtiss Carrier Pigeon602" "1/1(0)" 1926 1926-02-12 1 1 0
"215" "08 Mar 1926" "Staaken, GermanyDeutche Lufthansa" "Junkers F-13D-290
D-290" "1/1(0)" 1926 1926-03-08 1 1 0
"315" "31 May 1926" "English ChannelAir Union" "Breguet 14F-ADAI" "1/1(0)" 1926 1926-05-31 1 1 0
"415" "03 Jul 1926" "Rossaugpt, CzechoslovakiaCompagnie Internationale de Navigation Aérienne" "Caudron C-61F-AFBT" "6/6(0)" 1926 1926-07-03 6 6 0
"57" "09 Jul 1926" "Wolvertem, BelgiumKLM Royal Dutch Airlines" "Fokker F7H-NACC" "2/2(0)" 1926 1926-07-09 2 2 0
"66" "24 Jul 1926" "Juist, GermanyDeutsche Lufthansa" "Junkers F-13D-272" "5/5(0)" 1926 1926-07-24 5 5 0
"76" "18 Aug 1926" "Hurst, Kent, EnglandAir Union" "Bleriot 155F-AIEB" "3/15(0)" 1926 1926-08-18 3 15 0
"85" "26 Sep 1926" "New York, New York?" "Sikorsky S-25?" "2/5(0)" 1926 1926-09-26 2 5 0
"95" "02 Oct 1926" "Leigh, Kent, Unied KingdomAir Union" "Bleriot 155F- AICQ" "7/7(0)" 1926 1926-10-02 7 7 0
